Posizione.Dettagli.Gruppo Economico.Sezione Componenti.Elenco.GBV NDG;POSIZIONE.DETTAGLI.GRUPPO_ECONOMICO.SEZIONE_COMPONENTI.ELENCO.GBV_NDG
Posizione.Dettagli.Gruppo Economico.Sezione Componenti.Elenco.NDG;POSIZIONE.DETTAGLI.GRUPPO_ECONOMICO.SEZIONE_COMPONENTI.ELENCO.NDG
Posizione.Dettagli.Gruppo Economico.Sezione Componenti.Elenco.Ruolo;POSIZIONE.DETTAGLI.GRUPPO_ECONOMICO.SEZIONE_COMPONENTI.ELENCO.RUOLO
Posizione.Dettagli.Gruppo Economico.Sezione Componenti.Elenco.Nessun Soggetto;POSIZIONE.DETTAGLI.GRUPPO_ECONOMICO.SEZIONE_COMPONENTI.ELENCO.NESSUN_SOGGETTO
Posizione.Dettagli.Gruppo Economico.Azioni.Vedi Posizione;POSIZIONE.DETTAGLI.GRUPPO_ECONOMICO.AZIONI.VEDI_POSIZIONE
Posizione.dettagli.Linee di credito.elenco.Cod. divisa;POSIZIONE.DETTAGLI.LINEE_DI_CREDITO.ELENCO.COD.DIVISA
Posizione.dettagli.Linee di credito.elenco.Codice Linea Di Credito;POSIZIONE.DETTAGLI.LINEE_DI_CREDITO.ELENCO.CODICE_LINEA_DI_CREDITO
Posizione.dettagli.Linee di credito.elenco.Data di scadenza;POSIZIONE.DETTAGLI.LINEE_DI_CREDITO.ELENCO.DATA_DI_SCADENZA
Posizione.dettagli.Linee di credito.elenco.Importo Deliberato;POSIZIONE.DETTAGLI.LINEE_DI_CREDITO.ELENCO.IMPORTO_DELIBERATO
Posizione.dettagli.Linee di credito.elenco.nessuna linea di credito;POSIZIONE.DETTAGLI.LINEE_DI_CREDITO.ELENCO.NESSUNA_LINEA_DI_CREDITO
Posizione.dettagli.Linee di credito.elenco.Stato delle linea di credito;POSIZIONE.DETTAGLI.LINEE_DI_CREDITO.ELENCO.STATO_DELLE_LINEA_DI_CREDITO
Posizione.dettagli.Linee di credito.elenco.Tipologia scadenza;POSIZIONE.DETTAGLI.LINEE_DI_CREDITO.ELENCO.TIPOLOGIA_SCADENZA
Posizione.dettagli.Linee di credito.elenco.filtri.Codice Linea Di Credito;POSIZIONE.DETTAGLI.LINEE_DI_CREDITO.ELENCO.FILTRI.CODICE_LINEA_DI_CREDITO
Posizione.dettagli.Linee di credito.elenco.filtri.Importo Deliberato;POSIZIONE.DETTAGLI.LINEE_DI_CREDITO.ELENCO.FILTRI.IMPORTO_DELIBERATO
Posizione.monitoring.azioni.Selettore tipologia dati.Cumulati;POSIZIONE.MONITORING.AZIONI.SELETTORE_TIPOLOGIA_DATI.CUMULATI
Posizione.monitoring.azioni.Selettore tipologia dati.Di Periodo;POSIZIONE.MONITORING.AZIONI.SELETTORE_TIPOLOGIA_DATI.DI_PERIODO
Posizione.monitoring.azioni.menu dettaglio movimenti.Fees;POSIZIONE.MONITORING.AZIONI.MENU_DETTAGLIO_MOVIMENTI.FEES
Posizione.monitoring.azioni.menu dettaglio movimenti.GDP;POSIZIONE.MONITORING.AZIONI.MENU_DETTAGLIO_MOVIMENTI.GDP
Posizione.monitoring.azioni.menu dettaglio movimenti.Spese LeP;POSIZIONE.MONITORING.AZIONI.MENU_DETTAGLIO_MOVIMENTI.SPESE_LE_P
Posizione.monitoring.azioni.menu dettaglio movimenti.Tutti i movimenti ;POSIZIONE.MONITORING.AZIONI.MENU_DETTAGLIO_MOVIMENTI.TUTTI_I_MOVIMENTI
Posizione.monitoring.azioni.Azione Selettore tipologia dati;POSIZIONE.MONITORING.AZIONI.AZIONE_SELETTORE_TIPOLOGIA_DATI
Posizione.monitoring.azioni.Azione Selezione Colonne Da Visualizzare;POSIZIONE.MONITORING.AZIONI.AZIONE_SELEZIONE_COLONNE_DA_VISUALIZZARE
